"Name","Version","License","URL","Description"
"PyYAML","6.0.1","MIT License","https://pyyaml.org/","YAML parser and emitter for Python"
"av","11.0.0","BSD License","https://github.com/PyAV-Org/PyAV","Pythonic bindings for FFmpeg's libraries."
"certifi","2024.2.2","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi","Python package for providing Mozilla's CA Bundle."
"charset-normalizer","3.3.2","MIT License","https://github.com/Ousret/charset_normalizer","The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet."
"colorama","0.4.6","BSD License","https://github.com/tartley/colorama","Cross-platform colored terminal text."
"coloredlogs","15.0.1","MIT License","https://coloredlogs.readthedocs.io","Colored terminal output for Python's logging module"
"ctranslate2","4.1.0","MIT License","https://opennmt.net","Fast inference engine for Transformer models"
"faster-whisper","1.0.1","MIT License","https://github.com/guillaumekln/faster-whisper","Faster Whisper transcription with CTranslate2"
"filelock","3.13.1","The Unlicense (Unlicense)","https://github.com/tox-dev/py-filelock","A platform independent file lock."
"flatbuffers","24.3.7","Apache Software License","https://google.github.io/flatbuffers/","The FlatBuffers serialization format for Python"
"fsspec","2024.3.1","BSD License","https://github.com/fsspec/filesystem_spec","File-system specification"
"huggingface-hub","0.21.4","Apache Software License","https://github.com/huggingface/huggingface_hub","Client library to download and publish models, datasets and other repos on the huggingface.co hub"
"humanfriendly","10.0","MIT License","https://humanfriendly.readthedocs.io","Human friendly output for text interfaces using Python"
"idna","3.6","BSD License","https://github.com/kjd/idna","Internationalized Domain Names in Applications (IDNA)"
"mpmath","1.3.0","BSD License","http://mpmath.org/","Python library for arbitrary-precision floating-point arithmetic"
"numpy","1.26.4","BSD License","https://numpy.org","Fundamental package for array computing in Python"
"onnxruntime","1.17.1","MIT License","https://onnxruntime.ai","ONNX Runtime is a runtime accelerator for Machine Learning models"
"packaging","24.0","Apache Software License; BSD License","https://github.com/pypa/packaging","Core utilities for Python packages"
"pipdeptree","2.16.1","MIT License","https://github.com/tox-dev/pipdeptree","Command line utility to show dependency tree of packages."
"protobuf","5.26.0","3-Clause BSD License","https://developers.google.com/protocol-buffers/","UNKNOWN"
"pyreadline3","3.4.1","BSD License","https://pypi.python.org/pypi/pyreadline3/","A python implementation of GNU readline."
"requests","2.31.0","Apache Software License","https://requests.readthedocs.io","Python HTTP for Humans."
"sympy","1.12","BSD License","https://sympy.org","Computer algebra system (CAS) in Python"
"tokenizers","0.15.2","Apache Software License","https://github.com/huggingface/tokenizers","UNKNOWN"
"tqdm","4.66.2","MIT License; Mozilla Public License 2.0 (MPL 2.0)","https://tqdm.github.io","Fast, Extensible Progress Meter"
"typing_extensions","4.10.0","Python Software Foundation License","https://github.com/python/typing_extensions","Backported and Experimental Type Hints for Python 3.8+"
"urllib3","2.2.1","MIT License","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst","HTTP library with thread-safe connection pooling, file post, and more."
